GlobalNodeID,velocity:0,velocity:1,velocity:2,Points:0,Points:1,Points:2
9666,-0.455896,0.169375,-0.348885,116.513,116.904,98.4082
9697,-0,0,0,115.842,116.769,99.2019
9696,-0.460507,0.171088,-0.352414,115.871,116.78,99.1701
9698,-0.489001,0.181674,-0.374219,115.842,116.766,99.2008
9700,-0,0,0,115.871,116.783,99.1712
9710,-0,0,0,116.796,113.767,96.4364
9711,-0.582409,0.216378,-0.445702,116.794,113.768,96.4385
9877,-0.541365,0.201129,-0.414292,114.936,115.861,99.9412
9879,-0,0,0,114.959,115.902,99.9293
9880,-0.555723,0.206463,-0.42528,114.961,115.9,99.9271
9881,-0,0,0,114.934,115.863,99.9434
10179,-0,0,0,116.589,113.31,96.4813
10180,-0.566695,0.210539,-0.433677,116.587,113.311,96.4835
10233,-0.492001,0.182789,-0.376515,117.222,116.164,97.1487
10236,-0,0,0,117.223,116.166,97.1473
10239,-0,0,0,116.841,113.864,96.4286
10238,-0.562621,0.209026,-0.430559,116.817,113.817,96.4348
10240,-0.538417,0.200033,-0.412036,116.839,113.865,96.4306
10242,-0,0,0,116.818,113.816,96.4327
10244,-0,0,0,117.125,114.53,96.4254
10245,-0.62052,0.230537,-0.474868,117.123,114.53,96.4278
10321,-0,0,0,117.302,115.768,96.8474
10320,-0.574912,0.213592,-0.439965,117.302,115.73,96.829
10322,-0.543801,0.202034,-0.416156,117.3,115.767,96.8492
10324,-0,0,0,117.304,115.732,96.827
10607,-0.538126,0.199925,-0.411813,116.566,116.894,98.3352
10609,-0,0,0,116.594,116.891,98.298
10610,-0.370834,0.137773,-0.283789,116.594,116.889,98.2979
10611,-0,0,0,116.567,116.897,98.3353
10837,-0,0,0,116.409,113.011,96.5772
10836,-0.510878,0.189802,-0.390962,116.387,112.978,96.591
10838,-0.465866,0.173079,-0.356515,116.408,113.012,96.579
10840,-0,0,0,116.388,112.976,96.5892
10868,-0,0,0,114.22,113.457,99.7228
10869,-0.429365,0.159519,-0.328582,114.222,113.458,99.7212
11301,-0.600122,0.222958,-0.459257,116.838,116.78,97.935
11303,-0,0,0,116.859,116.769,97.902
11304,-0.50131,0.186247,-0.383639,116.858,116.766,97.9025
11305,-0,0,0,116.839,116.783,97.9345
11445,-0.599422,0.222698,-0.458722,115.011,112.16,98.0605
11447,-0,0,0,114.986,112.169,98.0992
11448,-0.536149,0.199191,-0.410301,114.987,112.172,98.099
11449,-0,0,0,115.01,112.157,98.0608
11840,-0,0,0,117.075,114.378,96.4065
11841,-0.614298,0.228225,-0.470106,117.073,114.379,96.4089
11993,-0,0,0,117.008,116.642,97.6515
11992,-0.42414,0.157577,-0.324583,117.025,116.622,97.6198
11994,-0.39062,0.145124,-0.298931,117.007,116.64,97.6521
11996,-0,0,0,117.026,116.624,97.6189
12359,-0.529724,0.196804,-0.405384,115.122,116.131,99.8269
12360,-0.987481,0.36687,-0.755693,115.096,116.093,99.8431
12363,-0,0,0,115.121,116.132,99.8289
12364,-0,0,0,115.094,116.096,99.8469
12447,-0,0,0,114.259,113.168,99.5358
12446,-0.552399,0.205228,-0.422736,114.252,113.205,99.5633
12448,-0.519609,0.193046,-0.397643,114.261,113.17,99.5343
12450,-0,0,0,114.25,113.204,99.5649
12495,-0.488794,0.181597,-0.374061,116.356,116.912,98.6124
12496,-0.575528,0.213821,-0.440436,116.329,116.911,98.6468
12499,-0,0,0,116.357,116.915,98.6128
12500,-0,0,0,116.329,116.914,98.6474
12787,-0,0,0,114.733,112.336,98.5178
12786,-0.60058,0.223129,-0.459608,114.708,112.345,98.5546
12788,-0.562062,0.208818,-0.430131,114.734,112.339,98.5177
12790,-0,0,0,114.707,112.342,98.5545
12823,-0.523207,0.194383,-0.400396,116.795,116.809,98.0033
12825,-0,0,0,116.818,116.797,97.9684
12826,-0.512971,0.19058,-0.392563,116.817,116.795,97.9688
12827,-0,0,0,116.796,116.811,98.0029
12831,-0.447995,0.16644,-0.342838,115.148,116.166,99.8096
12834,-0,0,0,115.147,116.168,99.8113
12907,-0.552703,0.205341,-0.422969,117.25,116.041,97.0511
12909,-0,0,0,117.259,116.01,97.0243
12910,-0.766363,0.284721,-0.586477,117.257,116.007,97.0265
12911,-0,0,0,117.252,116.042,97.0495
12955,-0,0,0,117.279,115.093,96.5284
12954,-0.588628,0.218688,-0.450461,117.264,115.043,96.5213
12956,-0.546125,0.202897,-0.417935,117.277,115.092,96.5307
12958,-0,0,0,117.266,115.043,96.5189
13475,-0,0,0,114.229,113.31,99.6411
13474,-0.425737,0.15817,-0.325805,114.227,113.347,99.6619
13476,-0.478029,0.177598,-0.365823,114.231,113.311,99.6396
13478,-0,0,0,114.225,113.346,99.6634
13535,-0.494643,0.183771,-0.378537,114.297,113.068,99.4401
13537,-0,0,0,114.283,113.099,99.4738
13538,-0.524829,0.194985,-0.401638,114.284,113.101,99.4725
13539,-0,0,0,114.296,113.066,99.4413
13815,-0,0,0,117.199,116.256,97.2222
13816,-0.462969,0.172003,-0.354298,117.197,116.254,97.2235
